"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","х.","Малю́та","ж.","-ты, тай і -таю, -лю́це","Maliuta","Малюта"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Ма́цкі","мн.","-каў, -камі, -ках","Macki","Мацки"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Мільце́і","мн.","-це́й і -це́яў, -це́ямі, -це́ях","Miĺciei","Мильцеи"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Міцю́ны","мн.","-цю́н і -цю́наў, -намі, -нах","Miciuny","Митюны"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Навасёлкі","мн.","-лак і -лкаў, -камі, -ках","Navasiolki","Новосёлки"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Палесці́на","ж.","-ны, -най і -наю, -не","Paliescina","Палестина"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Пелегрында́","ж.","-ды́, -до́й і -до́ю, -дзе́","Pieliehrynda","Пелегринда"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Пе́трыкі","мн.","-каў, -камі, -ках","Pietryki","Петрики"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","По́пішкі","мн.","-шак і -шкаў, -камі, -ках","Popiški","Попишки"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Пу́гавічы","мн.","-віч і -вічаў, -чамі, -чах","Puhavičy","Пуговичи"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Рымдзю́ны","мн.","-дзю́н і -дзю́наў, -намі, -нах","Rymdziuny","Рымдюны"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Сакало́йці","мн.","-цяў, -цямі, -цях","Sakalojci","Соколойти"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","х.","Слабо́дка","ж.","-кі, -кай і -каю, -дцы","Slabodka","Слободка"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Со́ргаўцы","мн.","-цаў, -цамі, -цах","Sorhaŭcy","Сорговцы"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Стара́я Ру́дня","ж.","-ро́й -ні, -ро́й -няй і -ро́ю -няю, -ро́й -ні","Staraja Rudnia","Старая Рудня"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Чэ́хі","мн.","-хаў, -хамі, -хах","Čechi","Чехи"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Шатэ́рнікі","мн.","-каў, -камі, -ках","Šaterniki","Шатерники"
"Гродзенская","АСТРАВЕЦКІ","ГЕРВЯЦКІ","в.","Швяйля́ны","мн.","-ля́н і -ля́наў, -намі, -нах","Šviajliany","Швейляны"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Алясі́на","ж.","-ны, -най і -наю, -не","Aliasina","Алесина"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Ба́бічы","мн.","-біч і -бічаў, -чамі, -чах","Babičy","Бабичи"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Байка́ны","мн.","-ка́н і -ка́наў, -намі, -нах","Bajkany","Байканы"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Бліка́ны","мн.","-ка́н і -ка́наў, -намі, -нах","Blikany","Бликаны"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Вавяра́ны","мн.","-ра́н і -ра́наў, -намі, -нах","Vaviarany","Вавераны"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Вікто́рышкі","мн.","-шак і -шкаў, -камі, -ках","Viktoryški","Викторишки"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Вялі́кія Пушчавы́я","мн.","-кіх -вы́х, -кімі -вы́мі, -кіх -вы́х","Vialikija Puščavyja","Великие Пущевые"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Вясёлая","ж.","-лай, -лай і -лаю, -лай","Viasiolaja","Весёлая"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Галі́цыя","ж.","-цыі, -цыяй і -цыяю, -цыі","Halicyja","Галиция"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Герма́нішкі","мн.","-шак і -шкаў, -камі, -ках","Hiermaniški","Германишки"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Гра́даўшчына","мн.","-ны, -най і -наю, -не","Hradaŭščyna","Градовщина"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Груздо́ўшчына","ж.","-ны, -най і -наю, -не","Hruzdoŭščyna","Груздовщина"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Гудага́й","м.","-га́я, -га́ем, -га́і","Hudahaj","Гудогай"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","п.","Гудага́й","м.","-га́я, -га́ем, -га́і","Hudahaj","Гудогай"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Дайнава́","ж.","-вы́, -во́й і -во́ю, -ве́","Dajnava","Дайнова"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Дайно́ўка","ж.","-кі, -кай і -каю, -ўцы","Dajnoŭka","Дайновка"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Дзяге́нева","н.","-ва, -вам, -ве","Dziahienieva","Дегенево"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Дравяні́кі","мн.","-ні́к і -ні́каў, -камі, -ках","Dravianiki","Дровяники"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Задво́рнікі","мн.","-каў, -камі, -ках","Zadvorniki","Задворники"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Заха́рышкі","мн.","-шак і -шкаў, -камі, -ках","Zacharyški","Захаришки"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","І́ндрубка","ж.","-кі, -кай і -каю, -бцы","Іndrubka","Индрубка"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Казакі́","мн.","-ко́ў, -ка́мі, -ка́х","Kazaki","Казаки"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Ка́менка","ж.","-кі, -кай і -каю, -нцы","Kamienka","Каменка"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Кандраты́","мн.","-то́ў, -та́мі, -та́х","Kandraty","Кондраты"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Кежду́ны","мн.","-ду́н і -ду́наў, -намі, -нах","Kiežduny","Кеждуны"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Кермяля́ны","мн.","-ля́н і -ля́наў, -намі, -нах","Kiermialiany","Кермеляны"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Кумпя́ны","мн.","-пя́н і -пя́наў, -намі, -нах","Kumpiany","Кумпяны"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Лабэ́лі","мн.","-бэ́ль і -бэ́ляў, -лямі, -лях","Labeli","Лабели"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Лазо́ўка","ж.","-кі, -кай і -каю, -ўцы","Lazoŭka","Лозовка"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Лі́пкі","мн.","Лі́пак і Лі́пкаў, -камі, -ках","Lipki","Липки"
